strategy_id,name,category,scene,target_state,delivery_mode,duration_min,dosage,triggers,contraindications,safety_level,evidence_level,success_criteria,notes
ANA-001,价-唤醒二维打点,情绪维度,学习/备考;编程/深度工作;睡前,情绪快速标注,自评打点,1,V-A坐标×1次,主观情绪不清晰;需要快速记录,,A,A,完成≤1min且可重复；与PANAS相关≥0.5,映射→EMI/PHY类选择：高价高唤醒→释放途径；低价高唤醒→安抚降唤醒
ANA-002,SUDS主观痛苦,压力评估,突发压力后;公共场合,压力等级,SUDS量表,0.5,0-10×1次,紧张/惊慌自评≥4/7,,A,A,与干预前后ΔSUDS≥2,映射→COG/PHY/RSP启动阈值
ANA-003,PHQ-2微筛,抑郁线索,睡前;学习/备考,低落识别,二题筛查,1,2题×1轮,连续低落≥3天;兴趣下降,,A,A,阳性率与后续PHQ-9一致性≥0.7,阳性仅作线索；映射→EMI/COG类
ANA-004,GAD-2微筛,焦虑线索,开会/沟通;公共场合,焦虑识别,二题筛查,1,2题×1轮,担忧/紧张≥4/7,,A,A,与GAD-7相关≥0.7,阳性仅作线索；映射→PHY/COG
ANA-005,RRS-3反刍短版,认知反刍,睡前;突发压力后,反刍识别,三题自评,1.5,3题×1轮,入睡困难;思维绕圈≥5/7,,A,B,反刍强度与入睡潜伏相关≥0.4,映射→COG-003/COG-005/EMI
ANA-006,情绪标签Top-3,情绪命名,学习/备考;编程/深度工作,情感准确命名,情绪词选择,1,词表选择×1,说不清感受;需要交流,,A,B,命名前后SUDS下降≥1,映射→COG重评/RSP抑制
ANA-007,STAXI-2S愤怒快测,愤怒线索,开会/沟通;公共场合,愤怒水平,四题自评,1,4题×1轮,被挑衅感≥5/7,,A,B,与行为冲动指标一致≥0.5,映射→RSP-001/004/PHY
ANA-008,活力/疲劳VAS,精力评估,久坐疲劳;编程/深度工作,活力水平,VAS滑尺,0.5,0-10×2,困倦评分≥4/7,,A,A,与KSS相关≥0.5,映射→PHY-003/EMI-002/ENV-002
ANA-009,Mini-SPIN-3,社交焦虑线索,开会/沟通;公共场合,社交紧张,三题自评,1,3题×1轮,发言/会面前紧张≥4/7,,A,B,与全量得分相关≥0.7,映射→RSP-002/SOC-002
ANA-010,NASA-TLX微版,认知负荷,编程/深度工作;开会/沟通,负荷水平,三维自评,1.5,心理/时间/努力×各1,错误率上升;切换频繁,,A,B,负荷与错误/切换相关≥0.5,映射→TSK-003/ENV-001/ATT类
ANA-011,HRV-30s快测,生理唤醒,突发压力后;睡前,自主神经状态,传感器HRV,0.5,RMSSD 30秒,心率>100bpm;手心出汗≥3/5,严重心律问题,A,B,与SUDS负相关≥0.4,映射→PHY-001/002/003
ANA-012,皮电EDA-60s,生理唤醒,突发压力后,觉醒强度,皮电传感,1,基线60秒,强情绪波动;手汗明显,,B,B,峰值与事件标注一致≥0.5,映射→RSP/PHY
ANA-013,语音情感速判,情感线索,公共场合;开会/沟通,声学情绪,语音分析(本地),0.5,30秒语音片段,说话颤抖;语速变化,隐私/录音不便;声敏感,B,B,与自评一致≥0.5,仅本地/边缘；映射→RSP/COG
ANA-014,面部微表情,情感线索,学习/备考;公共场合,表情情绪,摄像头分析(本地),0.5,15秒快照,情绪难以命名;镜头可用,隐私/摄像头不便,B,B,与自评一致≥0.5,仅在本地启用；映射→EMI/COG
ANA-015,文本情感-认知扭曲,认知线索,学习/备考;睡前,消极思维模式,文本分析(本地),1,最近一句话分析,自我批评频繁≥3次/日,隐私文本敏感,A,B,识别≥2类扭曲并可复述,映射→COG-001/005
ANA-016,键鼠节律指数,行为线索,编程/深度工作,节律稳定度,键鼠行为,2,停顿/切换/误键比,任务切换≥4次/30min,,B,B,与产出/错误相关≥0.4,映射→TSK-003/ATT-001
ANA-017,走神打点,注意线索,学习/备考;编程/深度工作,走神频率,自评打点,0.5,每10min×1次,走神自评≥4/7;连续工作>40min,强迫倾向明显,A,B,波动幅度↓≥30%,映射→ATT-004/META-001
ANA-018,眼动远眺-扫视,视觉疲劳,编程/深度工作;开会/沟通,眼部负荷,自评+简单计数,1,远眺20秒+扫视20次,眼压感≥3/5;干涩,,B,B,主观疲劳↓≥1分,映射→ATT-002/ENV-001
ANA-019,睡意与困倦简表,睡眠线索,睡前;午后,困倦程度,两题自评,1,入睡潜伏/瞌睡×各1,午后低谷;入睡潜伏>20min,,A,B,与ESS相关≥0.5,映射→PHY-001/EMI-001/ENV-002
ANA-020,BIS/BAS-mini,动机倾向,学习/备考;编程/深度工作,趋近/回避,四题自评,2,各2题×1轮,拖延>10min;启动困难≥4/7,,B,B,与行为选择一致≥0.4,映射→COG-002/TSK-005/EMI-002
ANA-021,UPPS-3冲动性,冲动线索,开会/沟通;公共场合,冲动倾向,三题自评,1.5,3题×1轮,打断他人;易冲动,,B,B,与RSP需求相关≥0.5,映射→RSP-001/004
ANA-022,自我同情SCS-mini,情绪调节资源,睡前;突发压力后,自我安抚能力,三题自评,2,3题×1轮,自责/羞愧频繁≥3/日,,B,B,与负性情绪负相关≥0.4,映射→COG-001/EMI-003
ANA-023,安全红旗扫描,高风险线索,任何场景,风险分级,关键词/意图识别(本地),0.2,规则+LLM二级,绝望/自伤/他伤暗示,误报需复核,A,B,敏感词命中→risk=red并转介,仅触发安全流程；不做诊断
ANA-024,情绪恢复速度,复原力线索,学习/备考;编程/深度工作,恢复能力,前后对比,3,情绪打点前后×2,情绪波动频繁;短时干预后评价,,A,B,干预后5min情绪回落≥1分,映射→选用EMI/PHY后评估
ANA-025,价值一致性快问,意义/价值,开会/沟通;学习/备考,价值-目标一致,两题自评,2,价值×1+下一步×1,目标含糊;拖延>15min,,B,C,下一步明确度≥7/10,映射→COG-004/TSK-004
ANA-026,社交支持温度计,社会支持,公共场合;突发压力后,支持感受,0-10打点,0.5,支持感0-10×1,孤独/求助意愿低,,A,B,支持感↑≥2分或转介,映射→SOC-001/003/004
ANA-027,情绪诱发线索表,触发因素,学习/备考;公共场合,触发识别,清单勾选,2,常见触发×10项,反复波动;难以找原因,,A,B,识别≥1主触发并记录,映射→ENV/TSK/COG选项
ANA-028,自我效能单题,信心评估,编程/深度工作;学习/备考,可控感,单题VAS,0.3,0-10×1,面对任务无力感≥4/7,,A,B,自我效能↑≥2分,映射→TSK-005/COG-002
ANA-029,身体信号速查,身心联结,突发压力后;公共场合,躯体信号觉察,清单勾选,1.5,心跳/呼吸/肌紧等×1,躯体不适;难命名情绪,,A,B,识别≥1并对症策略,映射→PHY-001/002/003
ANA-030,价值-边界觉察,人际界限,开会/沟通;公共场合,边界清晰度,反思题,3,场景×1+边界×1,被越界/委屈≥4/7,,B,C,边界陈述可落地,映射→RSP-002/004/SOC-004